PID,Street Address,MBLU,Map,Lot,Unit,Book&Page,Assessment,Appraisal,Lot Size (acres),Land Use Code,Description,Zoning District,# Buildings,Appr. Year,Improvements,Land,Total,Recent Sale Price,Recent Sale Date,Prev Sale Price,Prev Sale Date,Prev. Ass. Imp,Prev. Ass. Land,Prev. Ass. Tot,Prev. App. Imp,Prev. App. Land,Prev. App. Tot,,
842,15 ORFORD RD,408/  5/  /  / ,408,5,  ,  2372/0638,220300,220300,0.47,1010,SINGLE FAM MDL01,RD,1,2021,127100,93200,220300,0,2008-07-30,75000,1999-02-03,116200,83900,200100,116200,83900,200100,20:09:53,269
843,23 ORFORD RD,408/  6/  /  / ,408,6,  ,  3389/ 560,235800,235800,3.6,1010,SINGLE FAM MDL01,RD,1,2021,83600,152200,235800,0,2007-03-23,4000,1993-09-23,75700,118000,193700,75700,118000,193700,20:09:54,270
844,27 ORFORD RD,408/  7/  /  / ,408,7,  ,002936/0109,93200,301800,45.8,1013,SFR WATER  MDL-01,RD,1,2021,4300,297500,301800,0,2003-12-09,,,5900,79900,85800,5900,263800,269700,20:09:54,271
845,35 ORFORD RD,408/  8/  /  / ,408,8,  ,  1776/0056,353100,353100,2,1010,SINGLE FAM MDL01,RD,1,2021,211500,141600,353100,4000,1988-11-08,,,180800,108400,289200,180800,108400,289200,20:09:55,272
846,41 ORFORD RD,408/  9/  /  / ,408,9,  , ,113800,113800,3.8,9010,STATE NH,RD,1,2021,0,113800,113800,0,,,,0,87900,87900,0,87900,87900,20:09:56,273
849,92 POST POND LN (LAND ONLY),408/  12/  /  / ,408,12,  ,  1176/0426,117700,117700,19.6,9035,TOWN-PROP,RD,1,2021,0,117700,117700,0,,,,0,104600,104600,0,104600,104600,20:09:57,274
760,165 WHIPPLE HILL RD,407/  80/  /  / ,407,80,  ,  3897/0300,136500,289600,51.6,1300,RES ACLNDV,,1,2021,0,289600,289600,210000,2012-07-06,250000,2009-01-30,0,113100,113100,0,252100,252100,20:09:58,275
762,160 WHIPPLE HILL RD,407/  81/  /  / ,407,81,  ,002738/0562,500,181700,21.2,6303,OTM-3,,1,2021,0,181700,181700,112466,2002-10-31,20000,1990-02-06,0,500,500,0,147200,147200,20:09:59,276
765,132 WHIPPLE HILL RD,407/  84/  /  / ,407,84,  ,  4560/ 195,464100,536100,11.4,1010,SINGLE FAM MDL01,RD,1,2021,313700,222400,536100,527500,2020-09-30,347670,2000-05-10,313300,175800,489100,313300,247800,561100,20:10:00,277
101502,44 BLISS LN,410/  51/  /  / ,410,51,  ,  2549/0311,13400,13400,8.1,1320,RES ACLNUD,RD,1,2021,0,13400,13400,0,2001-04-27,,,0,11600,11600,0,11600,11600,20:10:00,278
101523,44 BRITTON LN,408/  1/  0100/  / ,408,1,100,  3084/0018,463400,596400,30.08,1010,SINGLE FAM MDL01,RD,1,2021,319000,277400,596400,0,2004-11-19,100000,2001-08-08,295500,105300,400800,295500,201800,497300,20:10:01,279
101542,675 RIVER RD,405/  33/  /  / ,405,33,  ,  2001/0552,531100,1292100,105.9,1013,SFR WATER  MDL-01,RD,1,2021,203700,1088400,1292100,0,2003-03-04,,,109800,271800,381600,109800,931600,1041400,20:10:02,280
769,144 ORFORD RD,407/  88/  /  / ,407,88,  ,  4475/ 933,345000,345000,3.15,1010,SINGLE FAM MDL01,RD,1,2021,195800,149200,345000,369000,2019-10-25,283000,2008-09-18,193700,115300,309000,193700,115300,309000,20:10:03,281
770,124 ORFORD RD,407/  89/  /  / ,407,89,  , ,6400,269900,25.52,6505,FARM-5,RD,1,2021,0,269900,269900,0,,,,0,6400,6400,0,233200,233200,20:10:04,282
101562,626 DORCHESTER RD,421/  22/  /  / ,421,22,  ,  4414/0586,16800,380000,213,1060,AC LND IMP,RD,1,2021,900,379100,380000,100000,2019-01-31,,,800,15600,16400,800,338100,338900,20:10:05,283
772,11 PINNACLE RD,407/  91/  /  / ,407,91,  ,  1613/0215,433300,433300,3,1010,SINGLE FAM MDL01,RD,1,2021,256700,176600,433300,141000,1986-08-07,,,250900,124800,375700,250900,124800,375700,20:10:06,284
306,69 WASHBURN HILL RD,402/  14/  /  / ,402,14,  ,  1424/ 471,474500,474500,3.1,1010,SINGLE FAM MDL01,RD,1,2021,254500,220000,474500,0,,,,173800,201400,375200,173800,201400,375200,20:10:07,285
307,77 WASHBURN HILL RD,402/  15/  1000/  / ,402,15,1000,  4114/0078,758500,860600,18.44,1010,SINGLE FAM MDL01,RD,1,2021,498100,362500,860600,0,2015-03-09,779000,2012-08-02,498800,229400,728200,498800,322000,820800,20:10:08,286
308,64 WASHBURN HILL RD,402/  16/  /  / ,402,16,  ,  1733/0962,476700,476700,3.31,1010,SINGLE FAM MDL01,RD,1,2021,280100,196600,476700,225000,1988-04-15,,,274500,150300,424800,274500,150300,424800,20:10:08,287
309,66 WASHBURN HILL RD,402/  17/  /  / ,402,17,  ,  4185/ 938,589800,854900,79.7,1010,SINGLE FAM MDL01,RD,1,2021,283000,571900,854900,700000,2016-01-29,220000,1985-02-27,264700,232900,497600,264700,473100,737800,20:10:09,288
310,108 PRESTON RD,402/  18/  2000/  / ,402,18,2000,  4619/ 634,694700,756100,15.78,1010,SINGLE FAM MDL01,RD,1,2021,511300,244800,756100,0,2021-04-09,150000,2004-05-04,475100,178800,653900,475100,234000,709100,20:10:10,289
313,50 PRESTON RD,402/  21/  /  / ,402,21,  ,  4537/0060,1105700,1337000,48.8,1010,SINGLE FAM MDL01,RD,1,2021,675600,661400,1337000,1325000,2020-07-16,1236800,2004-07-16,606600,485300,1091900,606600,695100,1301700,20:10:11,290
315,45 PRESTON RD,402/  23/  /  / ,402,23,  ,  2260/0768,659100,659100,7,1040,TWO FAMILY,,1,2021,484200,174900,659100,0,1997-06-03,30000,1988-05-03,437000,136800,573800,437000,136800,573800,20:10:12,291
316,55 PRESTON RD,402/  24/  /  / ,402,24,  ,  3200/0568,410200,410200,10,1010,SINGLE FAM MDL01,RD,1,2021,229500,180700,410200,380000,2005-09-30,,,228100,143200,371300,228100,143200,371300,20:10:13,292
319,69 PRESTON RD,402/  26/  1000/  / ,402,26,1000,  3669/0559,604700,604700,5.09,1010,SINGLE FAM MDL01,RD,1,2021,381800,222900,604700,0,2009-12-17,,,351600,172500,524100,351600,172500,524100,20:10:14,293
320,81 PRESTON RD,402/  26/  2000/  / ,402,26,2000,  3669/0559,9700,433100,57.7,6514,FARMR-4,RD,1,2021,0,433100,433100,0,2009-12-17,,,0,9700,9700,0,395000,395000,20:10:15,294
321,97 PRESTON RD,402/  27/  /  / ,402,27,  ,  1051/0565,215400,215400,1.1,1010,SINGLE FAM MDL01,RD,1,2021,74900,140500,215400,0,,,,67200,99000,166200,67200,99000,166200,20:10:15,295
322,20 WASHBURN HILL RD,402/  28/  /  / ,402,28,  , ,151200,273200,22,1300,RES ACLNDV,RD,1,2021,0,273200,273200,0,,,,0,115400,115400,0,226200,226200,20:10:16,296
323,218 DARTMOUTH COLLEGE HY,402/  29/  /  / ,402,29,  ,  4514/ 870,293100,293100,2,1010,SINGLE FAM MDL01,RD,1,2021,149300,143800,293100,299000,2020-04-27,188000,2015-04-01,119400,110400,229800,119400,110400,229800,20:10:17,297
324,208 DARTMOUTH COLLEGE HY,402/  30/  /  / ,402,30,  ,  4174/   8,457700,457700,1.5,1010,SINGLE FAM MDL01,RD,1,2021,319900,137800,457700,436000,2015-11-24,410000,2013-04-09,303200,99600,402800,303200,99600,402800,20:10:18,298
382,116 RIVER RD,402/  84/  /  / ,402,84,  ,  4059/0770,309800,309800,0.94,1010,SINGLE FAM MDL01,RD,1,2021,150900,158900,309800,286534,2014-06-03,4000,1993-06-01,131200,139200,270400,131200,139200,270400,20:10:19,299
384,91 RIVER RD,402/  86/  /  / ,402,86,  ,    PC/2003,356900,561800,18,1013,SFR WATER  MDL-01,RD,1,2021,115100,446700,561800,0,2003-01-01,4000,1993-04-23,34500,226600,261100,34500,404600,439100,20:10:20,300
385,101 RIVER RD,402/  87/  /  / ,402,87,  ,  1107/0355,458500,458500,1.55,1040,TWO FAMILY,RD,1,2021,285900,172600,458500,0,,,,248400,188900,437300,248400,188900,437300,20:10:22,301
387,111 RIVER RD (HEWES BROOK PRE,402/  89/  /  / ,402,89,  ,  2624/0731,32300,32300,1,9035,TOWN-PROP,RD,1,2021,0,32300,32300,0,2002-01-18,90000,1999-03-30,0,23100,23100,0,23100,23100,20:10:22,302
388,117 RIVER RD,402/  90/  /  / ,402,90,  ,  3938/0992,73500,73500,3.5,1320,RES ACLNUD,RD,1,2021,0,73500,73500,0,2012-12-11,,,0,60800,60800,0,60800,60800,20:10:23,303
390,129 RIVER RD,402/  92/  /  / ,402,92,  ,  3299/0718,454600,454600,8.6,1300,RES ACLNDV,RD,1,2021,0,454600,454600,550000,2006-06-26,4000,1988-10-12,0,397500,397500,0,397500,397500,20:10:24,304
391,131 RIVER RD,402/  93/  /  / ,402,93,  ,PRO-00044,469100,469100,1.3,1013,SFR WATER  MDL-01,RD,1,2021,147800,321300,469100,0,2009-09-12,500,1961-03-31,78600,252200,330800,78600,252200,330800,20:10:25,305
392,133+137 RIVER RD,402/  94/  /  / ,402,94,  ,  3536/0280,850400,850400,2.3,1013,SFR WATER  MDL-01,RD,1,2021,490100,360300,850400,0,2008-06-04,134000,1997-06-24,439200,285600,724800,439200,285600,724800,20:10:26,306
394,139 RIVER RD,402/  96/  /  / ,402,96,  ,  2084/0285,726500,726500,1.8,1093,MLTI HS WF,RD,2,2021,371100,355400,726500,110000,1994-04-01,68500,1986-09-17,366000,281200,647200,366000,281200,647200,20:10:27,307
395,143 RIVER RD,402/  97/  /  / ,402,97,  ,  3668/0759,654800,654800,2.33,1013,SFR WATER  MDL-01,RD,1,2021,319100,335700,654800,0,2009-12-08,99533,2005-10-14,289500,314100,603600,289500,314100,603600,20:10:27,308
102712,24 HIGH ST (HIGHLAND CEMETER,201/  110/  2000/  / ,201,110,2000,002888/0819,258000,258000,6.57,9030,MUNICPAL  MDL-00,LCD,1,2021,11100,246900,258000,0,2003-09-10,,,8300,183700,192000,8300,183700,192000,20:10:28,309
398,155 RIVER RD,402/  100/  /  / ,402,100,  ,  4662/ 466,2398500,2398500,2.15,1013,SFR WATER  MDL-01,RD,1,2021,777200,1621300,2398500,2500000,2021-08-24,99533,2005-10-14,601100,327800,928900,601100,327800,928900,20:10:29,310
399,161 RIVER RD,402/  101/  /  / ,402,101,  ,  4150/0104,649800,649800,1,1013,SFR WATER  MDL-01,RD,2,2021,352100,297700,649800,0,2015-08-12,300000,2002-09-05,312000,312000,624000,312000,312000,624000,20:10:30,311
400,207 RIVER RD,402/  102/  /  / ,402,102,  ,  4291/0231,502200,502200,1.8,1040,TWO FAMILY,RD,1,2021,339100,163100,502200,0,2017-06-20,200000,1997-06-11,312500,136600,449100,312500,136600,449100,20:10:31,312
402,261 RIVER RD,402/  104/  /  / ,402,104,  ,  3449/0254,2572100,2572100,6.6,1093,MLTI HS WF,RD,2,2021,1367100,1205000,2572100,1900000,2007-09-13,4000,1993-03-02,1353500,950900,2304400,1353500,950900,2304400,20:10:32,313
405,300 DARTMOUTH COLLEGE HY,403/  3/  /  / ,403,3,  ,  1873/ 112,291100,291100,1.2,1010,SINGLE FAM MDL01,RD,1,2021,147800,143300,291100,116685,1990-08-10,,,109200,109200,218400,109200,109200,218400,20:10:34,314
407,39 EAST THETFORD RD,403/  5/  /  / ,403,5,  ,  4489/ 718,13900,420900,41.08,6516,FARMR-6,RD,1,2021,0,420900,420900,0,2019-12-19,88000,1996-10-23,0,13900,13900,0,339600,339600,20:10:35,315
408,53 EAST THETFORD RD,403/  6/  /  / ,403,6,  ,  2206/0633,320000,320000,1,1010,SINGLE FAM MDL01,RD,1,2021,171500,148500,320000,199500,1996-07-09,,,139800,163400,303200,139800,163400,303200,20:10:36,316
415,79 EAST THETFORD RD,403/  8/  /  / ,403,8,  ,  2369/0009,455600,614500,24.03,1010,SINGLE FAM MDL01,RD,1,2021,242800,371700,614500,135200,1998-01-12,4000,1997-12-02,184700,163900,348600,184700,317800,502500,20:10:37,317
417,101 EAST THETFORD RD,403/  9/  /  / ,403,9,  ,  4257/0489,55700,643500,52.81,1060,AC LND IMP,RD,1,2021,34800,608700,643500,689000,2017-01-19,500000,2015-06-23,34200,17400,51600,34200,509600,543800,20:10:38,318
418,119 EAST THETFORD RD,403/  10/  /  / ,403,10,  ,  3787/0174,648600,648600,5.81,1010,SINGLE FAM MDL01,RD,1,2021,442900,205700,648600,0,2011-04-08,450000,2001-07-07,404000,207500,611500,404000,207500,611500,20:10:38,319
432,299 RIVER RD,403/  15/  /  / ,403,15,  ,  2515/0075,23700,23700,0.15,1320,RES ACLNUD,RD,1,2021,0,23700,23700,15000,2001-02-02,,,0,19200,19200,0,19200,19200,20:10:39,320
427,125 EAST THETFORD RD,403/  11/  /  / ,403,11,  ,  3731/0426,479800,479800,2.63,1010,SINGLE FAM MDL01,RD,1,2021,317000,162800,479800,420000,2010-09-14,410000,2007-10-10,260700,131000,391700,260700,131000,391700,20:10:40,321
101183, WHIPPLE HILL RD,407/  86/  3000/  / ,407,86,3000,  2524/0286,400,65400,8.34,6324,OTUN-4,RD,1,2021,0,65400,65400,0,2001-03-21,500000,1986-11-18,0,400,400,0,39600,39600,20:10:41,322
429,278 RIVER RD,403/  12/  /  / ,403,12,  ,  1948/0106,726100,816500,11.66,1010,SINGLE FAM MDL01,RD,1,2021,553700,262800,816500,345048,1992-01-23,,,474700,240800,715500,474700,322700,797400,20:10:42,323
101202, WHIPPLE HILL RD,407/  86/  4000/  / ,407,86,4000,  2524/0286,3100,231200,9.56,6325,OTUN-5,RD,1,2021,0,231200,231200,0,2001-03-21,500000,1986-11-18,0,2900,2900,0,183200,183200,20:10:43,324
100502,85 DARTMOUTH COLLEGE HY #4010,401/  55/  401/  / ,401,55,401,  4290/0281,421200,421200,0,1021,CONDO NL  MDL-05,BD,1,2021,421200,0,421200,487600,2017-06-14,395533,2009-09-01,385100,0,385100,385100,0,385100,20:10:43,325
100503,85 DARTMOUTH COLLEGE HY #4040,401/  55/  404/  / ,401,55,404,  4458/0140,261900,261900,0,1021,CONDO NL  MDL-05,BD,1,2021,261900,0,261900,327500,2019-08-16,250000,2016-10-24,197400,0,197400,197400,0,197400,20:10:44,326
434,303 RIVER RD,403/  17/  /  / ,403,17,  ,  2325/0701,242900,242900,0.21,1013,SFR WATER  MDL-01,RD,1,2021,58600,184300,242900,75000,1998-06-26,42857,1993-09-07,50400,122300,172700,50400,122300,172700,20:10:45,327
435,307 RIVER RD,403/  18/  /  / ,403,18,  ,  4647/ 931,325300,325300,0.15,1013,SFR WATER  MDL-01,RD,1,2021,104100,221200,325300,600000,2021-06-18,235000,2010-12-28,112300,164300,276600,112300,164300,276600,20:10:46,328
436,311 RIVER RD,403/  19/  /  / ,403,19,  ,  4417/0385,266100,266100,0.37,1030,MOBILE HOM  MDL-02,RD,1,2021,60300,205800,266100,0,2019-02-19,,,37300,165200,202500,37300,165200,202500,20:10:47,329
437,315 RIVER RD,403/  20/  /  / ,403,20,  ,002827/0123,1052700,1052700,0.92,1093,MLTI HS WF,RD,2,2021,674600,378100,1052700,0,2003-05-27,299000,1998-06-15,475100,298400,773500,475100,298400,773500,20:10:48,330
438,319 RIVER RD,403/  21/  /  / ,403,21,  ,PRO-00342,570500,570500,0.69,1040,TWO FAMILY,RD,1,2021,308800,261700,570500,0,2012-05-30,189000,1995-07-07,254000,232800,486800,254000,232800,486800,20:10:48,331
440,327 RIVER RD,403/  23/  /  / ,403,23,  ,  4508/ 505,281900,281900,0.58,1013,SFR WATER  MDL-01,RD,1,2021,53000,228900,281900,185000,2020-03-30,,,43900,179000,222900,43900,179000,222900,20:10:49,332
441,331 RIVER RD,403/  24/  /  / ,403,24,  ,002784/0404,848200,848200,3.7,1093,MLTI HS WF,RD,2,2021,393000,455200,848200,550000,2003-02-10,38000,1989-09-06,382300,346700,729000,382300,346700,729000,20:10:51,333
442,339 RIVER RD,403/  25/  /  / ,403,25,  ,002845/0276,426200,426200,0.66,1090,MULTI HSES,,2,2021,229500,196700,426200,0,2003-05-30,135000,1998-12-12,240600,162200,402800,240600,162200,402800,20:10:52,334
446,376 RIVER RD,403/  29/  1000/  / ,403,29,1000,  4502/ 178,634400,761900,93.05,1010,SINGLE FAM MDL01,RD,1,2021,417800,344100,761900,695000,2020-02-24,,,433400,302800,736200,433400,828900,1262300,20:10:52,335
447,37 LAMPHIRE HILL LN,403/  30/  /  / ,403,30,  ,  1953/0322,419700,419700,4.93,1010,SINGLE FAM MDL01,RD,1,2021,191200,228500,419700,160000,1992-02-19,,,151800,246200,398000,151800,246200,398000,20:10:53,336
448,41 LAMPHIRE HILL LN,403/  31/  /  / ,403,31,  ,  4162/ 277,652300,704400,16,1010,SINGLE FAM MDL01,RD,1,2021,396900,307500,704400,625000,2015-09-14,339500,2010-11-04,379100,188000,567100,379100,235200,614300,20:10:54,337
450,70 LAMPHIRE HILL LN,403/  33/  /  / ,403,33,  ,  4092/0497,958700,1618400,392.2,1090,MULTI HSES,RD,2,2021,561400,1057000,1618400,84000,2014-11-03,,,483000,396900,879900,483000,994400,1477400,20:10:55,338
454,34 LAMPHIRE HILL LN,403/  37/  /  / ,403,37,  ,PC-2005,830200,1426400,147,1010,SINGLE FAM MDL01,RD,1,2021,586400,840000,1426400,0,2005-04-23,,,471100,216400,687500,471100,750400,1221500,20:10:56,339
457,360 RIVER RD,403/  40/  /  / ,403,40,  ,  2242/0345,1044500,1228200,34.94,1010,SINGLE FAM MDL01,RD,1,2021,818800,409400,1228200,4000,1997-03-14,,,666000,293700,959700,666000,459900,1125900,20:10:57,340
458,336 RIVER RD,403/  41/  /  / ,403,41,  ,  4199/0809,507400,507400,5.1,1010,SINGLE FAM MDL01,RD,1,2021,234800,272600,507400,575000,2016-04-20,330000,2005-04-29,239700,235400,475100,239700,235400,475100,20:10:58,341
459,330 RIVER RD,403/  42/  /  / ,403,42,  ,  4203/0100,485400,485400,4.48,1010,SINGLE FAM MDL01,RD,1,2021,293400,192000,485400,0,2016-04-20,213333,1985-06-17,235200,206500,441700,235200,206500,441700,20:10:58,342
460,120 EAST THETFORD RD,403/  43/  /  / ,403,43,  ,  3899/0388,680900,758100,28.1,1010,SINGLE FAM MDL01,RD,1,2021,479100,279000,758100,0,2012-07-16,118500,1997-09-26,391500,167100,558600,391500,236900,628400,20:10:59,343
461,106 EAST THETFORD RD,403/  44/  /  / ,403,44,  ,  4405/0570,906400,985200,22,1010,SINGLE FAM MDL01,RD,1,2021,673400,311800,985200,200000,2018-12-07,2666,2002-05-10,299300,178200,477500,299300,249700,549000,20:11:00,344
462,84 EAST THETFORD RD,403/  45/  /  / ,403,45,  ,  3941/0106,737300,790700,13,1040,TWO FAMILY,RD,2,2021,544600,246100,790700,579533,2012-12-18,425048,1991-07-26,438100,119400,557500,438100,167700,605800,20:11:01,345
463,72 EAST THETFORD RD,403/  46/  /  / ,403,46,  ,PC-2005,4200,372200,30.68,6516,FARMR-6,RD,1,2021,0,372200,372200,0,2005-04-23,92000,1997-12-02,0,4200,4200,0,295500,295500,20:11:03,346
465,7 RECORDRIDGE LN,403/  47/  /  / ,403,47,  ,  3360/0554,12300,250900,36.2,6516,FARMR-6,RD,1,2021,0,250900,250900,800000,2006-12-08,525000,2001-08-09,0,12300,12300,0,195500,195500,20:11:04,347
469,15 RECORDRIDGE LN,403/  48/  /  / ,403,48,  ,  3360/0554,997000,997000,10.2,1010,SINGLE FAM MDL01,RD,1,2021,725500,271500,997000,800000,2006-12-08,525000,2001-08-09,598800,240800,839600,598800,240800,839600,20:11:05,348
472,26 RECORDRIDGE LN,403/  51/  /  / ,403,51,  ,  1950/0328,890300,956600,14.9,1010,SINGLE FAM MDL01,RD,1,2021,715000,241600,956600,135048,1992-01-31,123474,1990-01-10,586900,154400,741300,586900,214600,801500,20:11:06,349
473,24 RECORDRIDGE LN,403/  52/  /  / ,403,52,  ,  2013/0352,745500,745500,10.4,1010,SINGLE FAM MDL01,RD,1,2021,535100,210400,745500,85048,1993-02-17,104000,1991-07-01,427400,186100,613500,427400,186100,613500,20:11:07,350
474,20 RECORDRIDGE LN,403/  53/  /  / ,403,53,  ,002833/0065,558800,558800,5.7,1010,SINGLE FAM MDL01,,1,2021,358800,200000,558800,146000,2003-06-09,100000,1992-02-03,322500,176700,499200,322500,176700,499200,20:11:07,351
475,18 EAST THETFORD RD,403/  54/  /  / ,403,54,  ,  4102/0110,686600,851600,40.7,1040,TWO FAMILY,RD,1,2021,472000,379600,851600,500000,2014-12-19,,,492300,168200,660500,492300,317100,809400,20:11:08,352
476,23 STORRS HILL LN,404/  1/  /  / ,404,1,  ,  4471/ 712,477900,620200,37.4,1010,SINGLE FAM MDL01,RD,1,2021,285600,334600,620200,475000,2019-10-09,,,261600,155100,416700,261600,345100,606700,20:11:09,353
478,46 STORRS HILL LN,404/  3/  /  / ,404,3,  ,  3052/0110,461300,793000,215,1040,TWO FAMILY,RD,1,2021,270800,522200,793000,0,2004-09-07,,,218200,207000,425200,218200,506600,724800,20:11:10,354
479,28 STORRS HILL LN,404/  4/  /  / ,404,4,  ,  3621/0609,1058300,1359900,103,1010,SINGLE FAM MDL01,RD,1,2021,750500,609400,1359900,0,2009-06-24,395048,1992-04-24,724800,309400,1034200,724800,582700,1307500,20:11:11,355
480,97 NORTH THETFORD RD,404/  5/  /  / ,404,5,  ,  3378/0970,409400,479100,13.2,1010,SINGLE FAM MDL01,RD,1,2021,247100,232000,479100,0,2007-02-15,,,182700,129000,311700,182700,192300,375000,20:11:12,356
482,105 NORTH THETFORD RD,404/  7/  /  / ,404,7,  ,  3988/0223,462900,538100,15,1010,SINGLE FAM MDL01,RD,1,2021,308300,229800,538100,525000,2013-06-18,633200,2008-05-01,302700,122100,424800,302700,189400,492100,20:11:13,357
483,111 NORTH THETFORD RD,404/  8/  /  / ,404,8,  ,  3901/0778,700,700,0.06,1320,RES ACLNUD,RD,1,2021,0,700,700,0,2012-07-24,,,0,600,600,0,600,600,20:11:13,358
484,131 NORTH THETFORD RD,404/  9/  /  / ,404,9,  ,  4356/0716,613900,613900,2.3,1010,SINGLE FAM MDL01,RD,1,2021,431700,182200,613900,0,2018-04-30,97619,1993-09-23,387300,164200,551500,387300,164200,551500,20:11:14,359
486,161 NORTH THETFORD RD,404/  11/  /  / ,404,11,  ,  3389/0560,585900,585900,8.16,1110,APT 4-UNT  MDL-01,RD,1,2021,367800,218100,585900,0,2007-03-23,4000,1993-09-23,269200,196800,466000,269200,196800,466000,20:11:15,360
487,175 NORTH THETFORD RD,404/  12/  /  / ,404,12,  ,  3934/0421,345100,345100,1.84,1010,SINGLE FAM MDL01,RD,1,2021,165100,180000,345100,325000,2012-11-21,112000,1982-07-26,163300,162200,325500,163300,162200,325500,20:11:16,361
488,534 RIVER RD,404/  13/  /  / ,404,13,  ,  2037/0625,558200,558200,1.78,1010,SINGLE FAM MDL01,RD,1,2021,309400,248800,558200,146467,1993-06-21,20000,1960-12-14,228000,265200,493200,228000,265200,493200,20:11:17,362
490,526 RIVER RD,404/  15/  /  / ,404,15,  ,PRO-2004,501400,501400,0.98,1010,SINGLE FAM MDL01,RD,1,2021,289700,211700,501400,0,2004-11-18,,,195900,249200,445100,195900,249200,445100,20:11:18,363
492,520 RIVER RD,404/  17/  /  / ,404,17,  ,  3614/0968,323100,323100,5.83,1010,SINGLE FAM MDL01,RD,1,2021,124500,198600,323100,278533,2009-06-02,,,112200,145600,257800,112200,145600,257800,20:11:19,364
493,498 RIVER RD,404/  18/  /  / ,404,18,  ,  3224/0749,700600,1135900,66.1,1010,SINGLE FAM MDL01,RD,1,2021,442700,693200,1135900,0,2005-11-22,,,367000,295900,662900,367000,683200,1050200,20:11:20,365
494,474 RIVER RD,404/  19/  /  / ,404,19,  ,  4093/ 306,1267500,1538100,120,1080,SFR/ACC UNIT,RD,1,2021,978200,559900,1538100,362533,2014-11-05,,,888400,273600,1162000,888400,515400,1403800,20:11:21,366
495,429 RIVER RD,404/  20/  /  / ,404,20,  ,  3074/0149,641700,641700,7.36,1013,SFR WATER  MDL-01,RD,1,2021,308000,333700,641700,0,2004-09-15,262000,1995-06-29,240400,323400,563800,240400,323400,563800,20:11:22,367
501,535 RIVER RD,404/  26/  /  / ,404,26,  ,  1292/0257,262800,262800,0.96,1013,SFR WATER  MDL-01,RD,1,2021,63500,199300,262800,20500,1976-09-09,20000,1960-12-14,65000,159200,224200,65000,159200,224200,20:11:22,368
506,21 GREGORY RD,404/  31/  /  / ,404,31,  ,  3704/0784,937200,937200,9,1010,SINGLE FAM MDL01,,1,2021,580400,356800,937200,650000,2010-05-24,625000,2003-05-22,490100,315000,805100,490100,315000,805100,20:11:23,369
507,560 RIVER RD,404/  32/  /  / ,404,32,  ,  4505/0085,610500,979800,122.5,1090,MULTI HSES,RD,4,2021,326000,653800,979800,0,2020-03-09,4000,1994-01-04,283000,230900,513900,283000,562500,845500,20:11:24,370
509,25 BRECK HILL RD,404/  34/  /  / ,404,34,  ,  3988/0241,600200,600200,1.7,1010,SINGLE FAM MDL01,RD,1,2021,339400,260800,600200,612533,2013-06-18,295000,2005-08-23,346600,229600,576200,346600,229600,576200,20:11:25,371
510,7 GREGORY RD,404/  35/  /  / ,404,35,  ,  4120/0212,659900,749300,13.2,1010,SINGLE FAM MDL01,RD,1,2021,406200,343100,749300,700000,2015-04-09,950000,2006-04-14,383700,267900,651600,383700,348900,732600,20:11:26,372
512,40 BRECK HILL RD,404/  37/  /  / ,404,37,  ,  3819/0886,10200,265100,35.34,6506,FARM-6,RD,1,2021,0,265100,265100,140000,2011-09-13,,,0,10200,10200,0,212700,212700,20:11:27,373
513,34 BRECK HILL RD,404/  38/  /  / ,404,38,  ,  3595/0931,490500,490500,5.4,1010,SINGLE FAM MDL01,,1,2021,275900,214600,490500,0,2009-03-31,4286,1989-03-10,233800,249000,482800,233800,249000,482800,20:11:28,374
514,30 BRECK HILL RD,404/  39/  /  / ,404,39,  ,  3479/0593,643600,722300,14.46,1010,SINGLE FAM MDL01,RD,1,2021,365300,357000,722300,685000,2007-12-04,2667,2000-09-05,330700,302200,632900,330700,373200,703900,20:11:30,375
515,24 BRECK HILL RD,404/  40/  /  / ,404,40,  ,  1928/0356,361300,361300,2.7,1010,SINGLE FAM MDL01,RD,1,2021,173600,187700,361300,125524,1991-09-12,67000,1986-07-10,156900,180400,337300,156900,180400,337300,20:11:31,376
517,2 BRECK HILL RD,404/  42/  /  / ,404,42,  ,  3901/0778,513000,613500,16.4,1040,TWO FAMILY,RD,1,2021,331700,281800,613500,0,2012-07-24,,,279200,171100,450300,279200,262000,541200,20:11:31,377
519,108 NORTH THETFORD RD,404/  44/  /  / ,404,44,  ,  3389/0097,299000,299000,2.2,1010,SINGLE FAM MDL01,RD,1,2021,142100,156900,299000,0,2007-03-22,,,124600,125100,249700,124600,125100,249700,20:11:32,378
520,100 NORTH THETFORD RD,404/  45/  /  / ,404,45,  ,  4338/0634,687700,687700,3.8,1010,SINGLE FAM MDL01,RD,1,2021,482800,204900,687700,0,2018-01-18,,,392700,164000,556700,392700,164000,556700,20:11:33,379
522,88 NORTH THETFORD RD,404/  47/  /  / ,404,47,  ,  1646/ 722,295300,295300,2,1010,SINGLE FAM MDL01,RD,1,2021,133200,162100,295300,65000,1987-01-05,,,118100,116600,234700,118100,116600,234700,20:11:34,380
526,74 NORTH THETFORD RD,404/  48/  1000/  / ,404,48,1000,  1088/0339,350600,350600,6.23,1090,MULTI HSES,RD,1,2021,133300,217300,350600,0,,,,112300,155900,268200,112300,155900,268200,20:11:35,381
